"SKU","Nama (ID)","Name (EN)","名称 (ZH)","Kategori","Harga (IDR)","MOQ","Isi Karton","Stok","Label"
"HEKV-661A","Speaker 6.5 Inci","6.5"" Speaker Model A","6.5寸音响 款式A","Speaker","75600","16","16","Ready","HOT"
"HEKV-661B","Speaker 6.5 Inci","6.5"" Speaker Model B","6.5寸音响 款式B","Speaker","75600","16","16","Ready","HOT"
"HEKV-661C","Speaker 6.5 Inci","6.5"" Speaker Model C","6.5寸音响 款式C","Speaker","75600","16","16","Ready","HOT"
"HEKV-661D","Speaker 6.5 Inci","6.5"" Speaker Model D","6.5寸音响 款式D","Speaker","75600","16","16","Ready","HOT"
"HEKV-661E","Speaker 6.5 Inci","6.5"" Speaker Model E","6.5寸音响 款式E","Speaker","75600","16","16","Ready","HOT"
"HEKV-661F","Speaker 6.5 Inci","6.5"" Speaker Model F","6.5寸音响 款式F","Speaker","75600","16","16","Ready","HOT"
"HEKV-881A","Speaker 8 Inci Model A","8"" Speaker Model A","8寸音响 款式A","Speaker","190000","12","12","Ready","BEST"
"HEKV-881B","Speaker 8 Inci Model B","8"" Speaker Model B","8寸音响 款式B","Speaker","190000","12","12","Ready","BEST"
"HEKV-881C","Speaker 8 Inci Model C","8"" Speaker Model C","8寸音响 款式C","Speaker","190000","12","12","Ready","BEST"
"HEKV-881D","Speaker 8 Inci Model D","8"" Speaker Model D","8寸音响 款式D","Speaker","190000","","","Ready","BEST"
"HEKV-881E","Speaker 8 Inci Model E","8"" Speaker Model E","8寸音响 款式E","Speaker","190000","10","10","Ready","BEST"
"HEKV-881F","Speaker 8 Inci Model F","8"" Speaker Model F","8寸音响 款式F","Speaker","190000","10","10","Ready","BEST"
"MSP-S01","Speaker 6.8 Inci","6.8"" Speaker","6.8寸音响","Speaker","75600","16","16","Ready","HOT"
"SPHED-B","Speaker Segitiga Hitam","Triangle Speaker Black","三角形音响  黑色","Speaker","800","","","Pre-order","NEW"
"SPHED-K","Speaker Segitiga Hijau","Triangle Speaker Green","三角形音响  绿","Speaker","800","","","Pre-order","NEW"
"SPHED-O","Speaker Segitiga Oranye","Triangle Speaker Orange","三角形音响   橙","Speaker","800","","","Pre-order","NEW"
"SPHED-W","Speaker Segitiga Putih","Triangle Speaker White","三角形音响  白","Speaker","800","","","Pre-order","NEW"
"SZ-1508","Speaker 15 Inci","15"" Speaker","15寸音响","Speaker","43700","1","1","Pre-order","HOT"
"ZQS-F803","Sing-e ZQS-F803 Speaker Kipas","Sing-e ZQS-F803 Fan Speaker","Sing-e ZQS-F803 风扇音箱","Speaker","217900","18","18","Ready","BEST"
"ZQS-L02","Sing-e ZQS-L02 Speaker Mini","Sing-e ZQS-L02 Mini Speaker","Sing-e ZQS-L02 迷你音箱","Speaker","61900","60","60","Ready","HOT"
"ZQS-L36","Sing-e ZQS-L36 Speaker Mini","Sing-e ZQS-L36 Mini Speaker","Sing-e ZQS-L36 迷你音箱","Speaker","76600","60","60","Ready","HOT"
"ZQS14102","Sing-e ZQS14102 Speaker Mini","Sing-e ZQS14102 Mini Speaker","Sing-e ZQS14102 迷你音箱","Speaker","85400","30","30","Ready","BEST"
"ZQS14103","Sing-e ZQS14103 Speaker Mini","Sing-e ZQS14103 Mini Speaker","Sing-e ZQS14103 迷你音箱","Speaker","91300","30","30","Ready","BEST"
"ZQS1440","Sing-e ZQS-1440 Speaker Kipas","Sing-e ZQS-1440 Fan Speaker","Sing-e ZQS-1440 风扇音箱","Speaker","94300","40","40","Ready","BEST"
"ZQS4239S","Sing-e ZQS4239S Speaker Bluetooth","Sing-e ZQS4239S Bluetooth Speaker","Sing-e ZQS4239S 蓝牙音箱","Speaker","173800","12","12","Ready","BEST"
"ZQS4239W","Sing-e ZQS4239W Speaker Bluetooth","Sing-e ZQS4239W Bluetooth Speaker","Sing-e ZQS4239W 蓝牙音箱","Speaker","156100","12","12","Ready","BEST"
"ZQS6212","Sing-e ZQS6212 Speaker Bluetooth Portabel","Sing-e ZQS6212 Portable Bluetooth Speaker","Sing-e ZQS6212 便携式蓝牙音箱","Speaker","270900","8","8","Ready","BEST"
